ID,Zeile (Rohquelle),Marke,Modell,Brutto kWh,Netto kWh,Puffer kWh,Puffer %,Status,Alias von Zeile,Modelljahr von,Modelljahr bis,Batterie-Generation,Bemerkung,Quelle,Issue,Marke (Rohquelle),Modell (Rohquelle),Brutto (Rohquelle),Netto (Rohquelle)
Z138,138,Hyundai,IONIQ 6 Long Range AWD,77.4,74.0,3.4,4.4,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 6 Long Range AWD,77.4 kWh,74.0 kWh
Z139,139,Hyundai,IONIQ 6 Standard Range 2WD,53.0,50.0,3.0,5.7,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 6 Standard Range 2WD,53.0 kWh,50.0 kWh
Z140,140,Hyundai,IONIQ 9 Long Range AWD,110.3,106.0,4.3,3.9,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 9 Long Range AWD,110.3 kWh,106.0 kWh
Z141,141,Hyundai,IONIQ 9 Long Range RWD,110.3,106.0,4.3,3.9,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 9 Long Range RWD,110.3 kWh,106.0 kWh
Z142,142,Hyundai,IONIQ 9 Performance AWD,110.3,106.0,4.3,3.9,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ 9 Performance AWD,110.3 kWh,106.0 kWh
Z143,143,Hyundai,IONIQ Electric,30.5,28.0,2.5,8.2,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ Electric,30.5 kWh,28.0 kWh
Z144,144,Hyundai,IONIQ Electric,40.4,38.3,2.1,5.2,unverändert,,,,,,Rohquelle,,Hyundai,IONIQ Electric,40.4 kWh,38.3 kWh
Z145,145,Hyundai,Kona Electric,42.0,39.2,2.8,6.7,unverändert,,,,,,Rohquelle,,Hyundai,Kona Electric,42.0 kWh,39.2 kWh
Z146,146,Hyundai,Kona Electric,51.0,48.4,2.6,5.1,unverändert,,,,,,Rohquelle,,Hyundai,Kona Electric,51.0 kWh,48.4 kWh
Z147,147,Hyundai,Kona Electric,67.5,64.0,3.5,5.2,unverändert,,,,,,Rohquelle,,Hyundai,Kona Electric,67.5 kWh,64.0 kWh
Z148,148,Hyundai,Kona Electric,68.5,65.4,3.1,4.5,unverändert,,,,,,Rohquelle,,Hyundai,Kona Electric,68.5 kWh,65.4 kWh
Z149,149,Kia,e-Niro,42.0,39.2,2.8,6.7,unverändert,,,,,,Rohquelle,,Kia,e-Niro,42.0 kWh,39.2 kWh
Z150,150,Kia,e-Niro,67.5,64.0,3.5,5.2,unverändert,,,,,,Rohquelle,,Kia,e-Niro,67.5 kWh,64.0 kWh
Z151,151,Kia,e-Soul,42.0,39.2,2.8,6.7,unverändert,,,,,,Rohquelle,,Kia,e-Soul,42.0 kWh,39.2 kWh
Z152,152,Kia,e-Soul,67.5,64.0,3.5,5.2,unverändert,,,,,,Rohquelle,,Kia,e-Soul,67.5 kWh,64.0 kWh
Z153,153,Kia,EV3 Long Range,81.4,78.0,3.4,4.2,unverändert,,,,,,Rohquelle,,Kia,EV3 Long Range,81.4 kWh,78.0 kWh
Z154,154,Kia,EV3 Standard Range,58.3,55.0,3.3,5.7,unverändert,,,,,,Rohquelle,,Kia,EV3 Standard Range,58.3 kWh,55.0 kWh
Z155,155,Kia,EV4 Fastback,81.4,78.0,3.4,4.2,unverändert,,,,,,Rohquelle,,Kia,EV4 Fastback,81.4 kWh,78.0 kWh
Z156,156,Kia,EV4 Hatchback,58.3,55.0,3.3,5.7,unverändert,,,,,,Rohquelle,,Kia,EV4 Hatchback,58.3 kWh,55.0 kWh
Z157,157,Kia,EV4 Hatchback,81.4,78.0,3.4,4.2,unverändert,,,,,,Rohquelle,,Kia,EV4 Hatchback,81.4 kWh,78.0 kWh
Z158,158,Kia,EV6 GT,77.4,74.0,3.4,4.4,unverändert,,,,,,Rohquelle,,Kia,EV6 GT,77.4 kWh,74.0 kWh
Z159,159,Kia,EV6 GT,84.0,80.0,4.0,4.8,unverändert,,,,,,Rohquelle,,Kia,EV6 GT,84.0 kWh,80.0 kWh
Z160,160,Kia,EV6 Long Range 2WD,77.4,74.0,3.4,4.4,unverändert,,,,,,Rohquelle,,Kia,EV6 Long Range 2WD,77.4 kWh,74.0 kWh
Z161,161,Kia,EV6 Long Range 2WD,84.0,80.0,4.0,4.8,unverändert,,,,,,Rohquelle,,Kia,EV6 Long Range 2WD,84.0 kWh,80.0 kWh
Z162,162,Kia,EV6 Long Range AWD,77.4,74.0,3.4,4.4,unverändert,,,,,,Rohquelle,,Kia,EV6 Long Range AWD,77.4 kWh,74.0 kWh
Z163,163,Kia,EV6 Long Range AWD,84.0,80.0,4.0,4.8,unverändert,,,,,,Rohquelle,,Kia,EV6 Long Range AWD,84.0 kWh,80.0 kWh
Z164,164,Kia,EV6 Standard Range 2WD,58.0,54.0,4.0,6.9,unverändert,,,,,,Rohquelle,,Kia,EV6 Standard Range 2WD,58.0 kWh,54.0 kWh
Z165,165,Kia,EV6 Standard Range 2WD,63.0,60.0,3.0,4.8,unverändert,,,,,,Rohquelle,,Kia,EV6 Standard Range 2WD,63.0 kWh,60.0 kWh
Z166,166,Kia,EV6 Standard Range AWD,58.0,54.0,4.0,6.9,unverändert,,,,,,Rohquelle,,Kia,EV6 Standard Range AWD,58.0 kWh,54.0 kWh
Z167,167,Kia,EV6 Standard Range AWD,63.0,60.0,3.0,4.8,unverändert,,,,,,Rohquelle,,Kia,EV6 Standard Range AWD,63.0 kWh,60.0 kWh
Z168,168,Kia,EV9 AWD,99.8,96.0,3.8,3.8,unverändert,,,,,,Rohquelle,,Kia,EV9 AWD,99.8 kWh,96.0 kWh
Z169,169,Kia,EV9 AWD GT,99.8,96.0,3.8,3.8,unverändert,,,,,,Rohquelle,,Kia,EV9 AWD GT,99.8 kWh,96.0 kWh
Z170,170,Kia,EV9 AWD GT-Line,99.8,96.0,3.8,3.8,unverändert,,,,,,Rohquelle,,Kia,EV9 AWD GT-Line,99.8 kWh,96.0 kWh
Z171,171,Kia,EV9 RWD,76.1,73.0,3.1,4.1,unverändert,,,,,,Rohquelle,,Kia,EV9 RWD,76.1 kWh,73.0 kWh
Z172,172,Kia,EV9 RWD,99.8,96.0,3.8,3.8,unverändert,,,,,,Rohquelle,,Kia,EV9 RWD,99.8 kWh,96.0 kWh
Z173,173,Kia,Niro EV,68.0,64.8,3.2,4.7,unverändert,,,,,,Rohquelle,,Kia,Niro EV,68.0 kWh,64.8 kWh
Z174,174,Kia,Soul EV,30.5,27.0,3.5,11.5,unverändert,,,,,,Rohquelle,,Kia,Soul EV,30.5 kWh,27.0 kWh
Z175,175,Kia,Soul EV,33.0,30.0,3.0,9.1,unverändert,,,,,,Rohquelle,,Kia,Soul EV,33.0 kWh,30.0 kWh
Z176,176,Mercedes-Benz,EQA 250,69.7,66.5,3.2,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQA 250,69.7 kWh,66.5 kWh
Z177,177,Mercedes-Benz,EQA 250+,73.9,70.5,3.4,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQA 250+,73.9 kWh,70.5 kWh
Z178,178,Mercedes-Benz,EQA 300 4MATIC,69.7,66.5,3.2,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQA 300 4MATIC,69.7 kWh,66.5 kWh
Z179,179,Mercedes-Benz,EQA 350 4MATIC,69.7,66.5,3.2,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQA 350 4MATIC,69.7 kWh,66.5 kWh
Z180,180,Mercedes-Benz,EQB 250,69.7,66.5,3.2,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQB 250,69.7 kWh,66.5 kWh
Z181,181,Mercedes-Benz,EQB 250+,73.9,70.5,3.4,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQB 250+,73.9 kWh,70.5 kWh
Z182,182,Mercedes-Benz,EQB 300 4MATIC,69.7,66.5,3.2,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQB 300 4MATIC,69.7 kWh,66.5 kWh
Z183,183,Mercedes-Benz,EQB 300 4MATIC,73.9,70.5,3.4,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQB 300 4MATIC,73.9 kWh,70.5 kWh
Z184,184,Mercedes-Benz,EQB 350 4MATIC,73.9,70.5,3.4,4.6,unverändert,,,,,,Rohquelle,#15,Mercedes,EQB 350,73.9 kWh,70.5 kWh
Z185,185,Mercedes-Benz,EQB 350 4MATIC,69.7,66.5,3.2,4.6,unverändert,,,,,,Rohquelle,,Mercedes,EQB 350 4MATIC,69.7 kWh,66.5 kWh
Z186,186,Mercedes-Benz,EQC 400 4MATIC,85.0,80.0,5.0,5.9,unverändert,,,,,,Rohquelle,,Mercedes,EQC 400,85 kWh,80.0 kWh
Z187,187,Mercedes-Benz,EQT,48,45.0,3.0,6.2,korrigiert,,,,,Der EQT nutzt die 45-kWh-Batterie des Renault Kangoo E-Tech. ev-database: 48 / 45 kWh; für 50 kWh brutto gibt es keinen Beleg.,https://ev-database.org/car/1908/Mercedes-Benz-EQT-200-Standard https://ev-database.org/car/1802/Renault-Kangoo-E-Tech-Electric,#3,Mercedes,EQT,50 kWh,45.0 kWh
Z188,188,Mercedes-Benz,EQV 250,66.0,60.0,6.0,9.1,unverändert,,,,,,Rohquelle,,Mercedes,EQV 250,66 kWh,60.0 kWh
Z189,189,Mercedes-Benz,EQV 300,100.0,90.0,10.0,10.0,unverändert,,,,,,Rohquelle,,Mercedes,EQV 300,100 kWh,90.0 kWh
Z190,190,Mercedes-Benz,eSprinter,41.0,35.0,6.0,14.6,unverändert,,,,,,Rohquelle,,Mercedes,eSprinter,41 kWh,35.0 kWh
Z191,191,Mercedes-Benz,eSprinter,55.0,47.0,8.0,14.5,unverändert,,,,,,Rohquelle,,Mercedes,eSprinter,55 kWh,47.0 kWh
Z192,192,Mercedes-Benz,eSprinter LFP,119.0,113.0,6.0,5.0,Näherungswert,,,,,In der Rohquelle als „ca.“ angegeben. Mercedes nennt nur nutzbare Kapazitäten (56 / 81 / 113 kWh); die Bruttowerte sind nicht offiziell.,Rohquelle,#11,Mercedes,eSprinter LFP,ca. 119 kWh,113.0 kWh
Z193,193,Mercedes-Benz,eSprinter LFP,60.0,56.0,4.0,6.7,Näherungswert,,,,,In der Rohquelle als „ca.“ angegeben. Mercedes nennt nur nutzbare Kapazitäten (56 / 81 / 113 kWh); die Bruttowerte sind nicht offiziell.,Rohquelle,#11,Mercedes,eSprinter LFP,ca. 60 kWh,56.0 kWh
Z194,194,Mercedes-Benz,eSprinter LFP,85.0,81.0,4.0,4.7,Näherungswert,,,,,In der Rohquelle als „ca.“ angegeben. Mercedes nennt nur nutzbare Kapazitäten (56 / 81 / 113 kWh); die Bruttowerte sind nicht offiziell.,Rohquelle,#11,Mercedes,eSprinter LFP,ca. 85 kWh,81.0 kWh
Z195,195,Mercedes-Benz,eVito 129 Tourer pro extra long,100.0,90.0,10.0,10.0,unverändert,,,,,,Rohquelle,,Mercedes,eVito 129 Tourer pro extra long,100 kWh,90.0 kWh
Z196,196,Mercedes-Benz,eVito 129 Tourer pro long,100.0,90.0,10.0,10.0,unverändert,,,,,,Rohquelle,,Mercedes,eVito 129 Tourer pro long,100 kWh,90.0 kWh
Z197,197,Mercedes-Benz,eVito extra long,41.0,35.0,6.0,14.6,unverändert,,,,,,Rohquelle,,Mercedes,eVito extra long,41 kWh,35.0 kWh
Z198,198,Mercedes-Benz,eVito extra long,66.0,60.0,6.0,9.1,unverändert,,,,,,Rohquelle,,Mercedes,eVito extra long,66 kWh,60.0 kWh
Z199,199,Mercedes-Benz,eVito long,41.0,35.0,6.0,14.6,unverändert,,,,,,Rohquelle,,Mercedes,eVito long,41 kWh,35.0 kWh
Z200,200,Mercedes-Benz,eVito long,66.0,60.0,6.0,9.1,unverändert,,,,,,Rohquelle,,Mercedes,eVito long,66 kWh,60.0 kWh
Z201,201,MG,Cyberster GT,77.0,74.4,2.6,3.4,unverändert,,,,,,Rohquelle,,MG,Cyberster GT,77.0 kWh,74.4 kWh
Z202,202,MG,Cyberster Trophy,77.0,74.4,2.6,3.4,unverändert,,,,,,Rohquelle,,MG,Cyberster Trophy,77.0 kWh,74.4 kWh
Z203,203,MG,Marvel R,75.0,70.0,5.0,6.7,unverändert,,,,,,Rohquelle,,MG,Marvel R,75.0 kWh,70.0 kWh
Z204,204,MG,Marvel R Performance,75.0,70.0,5.0,6.7,unverändert,,,,,,Rohquelle,,MG,Marvel R Performance,75.0 kWh,70.0 kWh
Z205,205,MG,MG4 Electric,51.0,50.8,0.2,0.4,zu prüfen,,,,,"Quellen widersprechen sich: ev-database 51,0 / 50,8 bzw. 64,0 / 61,7 kWh, ADAC 51,0 / 49,0 bzw. 64,0 / 59,5 kWh.",Rohquelle,#10,MG,MG4 Electric,51.0 kWh,50.8 kWh
Z206,206,MG,MG4 Electric,64.0,61.7,2.3,3.6,zu prüfen,,,,,"Quellen widersprechen sich: ev-database 51,0 / 50,8 bzw. 64,0 / 61,7 kWh, ADAC 51,0 / 49,0 bzw. 64,0 / 59,5 kWh.",Rohquelle,#10,MG,MG4 Electric,64.0 kWh,61.7 kWh
Z207,207,MG,MG4 Electric,77.0,74.4,2.6,3.4,unverändert,,,,,,Rohquelle,,MG,MG4 Electric,77.0 kWh,74.4 kWh
Z208,208,MG,MG4 Electric XPOWER,64.0,61.7,2.3,3.6,zu prüfen,,,,,"Quellen widersprechen sich: ev-database 51,0 / 50,8 bzw. 64,0 / 61,7 kWh, ADAC 51,0 / 49,0 bzw. 64,0 / 59,5 kWh.",Rohquelle,#10,MG,MG4 Electric XPOWER,64.0 kWh,61.7 kWh
Z209,209,MG,MG5 Electric Long Range,61.1,57.4,3.7,6.1,unverändert,,,,,,Rohquelle,,MG,MG5 Electric Long Range,61.1 kWh,57.4 kWh
Z210,210,MG,MG5 Electric Standard Range,50.3,46.0,4.3,8.5,unverändert,,,,,,Rohquelle,,MG,MG5 Electric Standard Range,50.3 kWh,46.0 kWh
Z211,211,MG,MG5 EV,52.5,48.8,3.7,7.0,unverändert,,,,,,Rohquelle,,MG,MG5 EV,52.5 kWh,48.8 kWh
Z212,212,MG,MG5 EV Long Range,61.1,57.4,3.7,6.1,Alias,209,,,,Gleiches Fahrzeug wie Zeile 209 („MG5 EV“ = „MG5 Electric“).,Rohquelle,#16,MG,MG5 EV Long Range,61.1 kWh,57.4 kWh
Z213,213,MG,ZS EV,44.5,42.5,2.0,4.5,unverändert,,,,,,Rohquelle,,MG,ZS EV,44.5 kWh,42.5 kWh
Z214,214,MG,ZS EV Long Range,72.6,68.3,4.3,5.9,unverändert,,,,,,Rohquelle,,MG,ZS EV Long Range,72.6 kWh,68.3 kWh
Z215,215,MG,ZS EV Standard Range,51.1,49.0,2.1,4.1,unverändert,,,,,,Rohquelle,,MG,ZS EV Standard Range,51.1 kWh,49.0 kWh
Z216,216,Mini,Aceman E,42.5,38.5,4.0,9.4,bestätigt,,2024,,,"Aceman E 42,5 / 38,5 kWh bestätigt.",https://ev-database.org/car/2190/Mini-Aceman-E,#8,Mini,Aceman E,42.5 kWh,38.5 kWh
Z217,217,Mini,Aceman JCW,54.2,49.2,5.0,9.2,unverändert,,,,,,Rohquelle,,Mini,Aceman JCW,54.2 kWh,49.2 kWh
Z218,218,Mini,Aceman SE,54.2,49.2,5.0,9.2,bestätigt,,2024,,,"Aceman SE 54,2 / 49,2 kWh bestätigt.",https://ev-database.org/uk/car/2191/Mini-Aceman-SE,#8,Mini,Aceman SE,54.2 kWh,49.2 kWh
Z219,219,Mini,Cooper E,40.7,36.6,4.1,10.1,korrigiert,,2024,,,"Laut ev-database und Auto Bild hat der Cooper E 40,7 / 36,6 kWh.",https://ev-database.org/uk/car/1997/Mini-Cooper-E,#8,Mini,Cooper E,40.7 kWh,36.8 kWh
Z220,220,Mini,Cooper SE,32.6,28.9,3.7,11.3,unverändert,,,,,,Rohquelle,,Mini,Cooper SE,32.6 kWh,28.9 kWh
Z221,221,Mini,Cooper SE,54.2,49.2,5.0,9.2,korrigiert,,2024,,,"Der neue Cooper SE (J01) hat dieselbe Batterie wie der Aceman SE: 54,2 / 49,2 kWh.",https://ev-database.org/uk/car/1998/Mini-Cooper-SE,#8,Mini,Cooper SE,54.2 kWh,49.8 kWh
Z222,222,Mini,Countryman E,66.5,64.6,1.9,2.9,unverändert,,,,,,Rohquelle,,Mini,Countryman E,66.5 kWh,64.6 kWh
Z223,223,Mini,Countryman SE,66.5,64.6,1.9,2.9,unverändert,,,,,,Rohquelle,,Mini,Countryman SE,66.5 kWh,64.6 kWh
Z224,224,Peugeot,e-2008,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-2008,50 kWh,46.3 kWh
Z225,225,Peugeot,e-2008,54.0,50.8,3.2,5.9,unverändert,,,,,,Rohquelle,,Peugeot,e-2008,54 kWh,50.8 kWh
Z226,226,Peugeot,e-2008 SUV,50.0,46.3,3.7,7.4,Alias,224,,,,Gleiches Fahrzeug wie Zeile 224 (Zusatz „SUV“).,Rohquelle,#16,Peugeot,e-2008 SUV,50 kWh,46.3 kWh
Z227,227,Peugeot,e-208,50.0,46.3,3.7,7.4,bestätigt,,2019,2023,50 kWh,"Ursprüngliche 100-kW-Batterie (NMC622), bestätigt.",https://ev-database.org/car/1583/Peugeot-e-208,#6,Peugeot,e-208,50 kWh,46.3 kWh
Z228,228,Peugeot,e-208,51.0,48.1,2.9,5.7,bestätigt,,2022,2025,51 kWh,"Richtig: Batterie des e-208 mit 115 kW / 156 PS (96 Zellen NMC811), 11/2022 bis 04/2025.",https://ev-database.org/car/1949/Peugeot-e-208-51-kWh https://www.auto-motor-und-sport.de/elektroauto/peugeot-e-208-mehr-power-mehr-reichweite/,#6,Peugeot,e-208,51 kWh,48.1 kWh
Z229,229,Peugeot,e-208,54.0,50.8,3.2,5.9,bestätigt,,2025,,54 kWh,"Neue Stellantis-Batterie ab 04/2025. Netto laut ev-database 50,8, laut Stellantis 51 kWh.",https://ev-database.org/car/3223/Peugeot-e-208-54-kWh https://www.electrive.com/2025/04/09/stellantis-gives-its-small-evs-a-range-upgrade/,#6,Peugeot,e-208,54 kWh,50.8 kWh
Z230,230,Peugeot,e-3008,77.0,73.0,4.0,5.2,unverändert,,,,,,Rohquelle,,Peugeot,e-3008,77 kWh,73.0 kWh
Z231,231,Peugeot,e-3008 Long Range,101.0,96.9,4.1,4.1,unverändert,,,,,,Rohquelle,,Peugeot,e-3008 Long Range,101 kWh,96.9 kWh
Z232,232,Peugeot,e-308,54.0,50.8,3.2,5.9,unverändert,,,,,,Rohquelle,,Peugeot,e-308,54 kWh,50.8 kWh
Z233,233,Peugeot,e-308 SW,54.0,50.8,3.2,5.9,unverändert,,,,,,Rohquelle,,Peugeot,e-308 SW,54 kWh,50.8 kWh
Z234,234,Peugeot,e-408,61.0,58.3,2.7,4.4,unverändert,,,,,,Rohquelle,,Peugeot,e-408,61 kWh,58.3 kWh
Z235,235,Peugeot,e-Expert Combi Compact,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Expert Combi Compact,50 kWh,46.3 kWh
Z236,236,Peugeot,e-Expert Combi Long,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Expert Combi Long,50 kWh,46.3 kWh
Z237,237,Peugeot,e-Expert Combi Long,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Peugeot,e-Expert Combi Long,75 kWh,68.0 kWh
Z238,238,Peugeot,e-Expert Combi Standard,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Expert Combi Standard,50 kWh,46.3 kWh
Z239,239,Peugeot,e-Expert Combi Standard,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Peugeot,e-Expert Combi Standard,75 kWh,68.0 kWh
Z240,240,Peugeot,e-Partner,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Partner,50 kWh,46.3 kWh
Z241,241,Peugeot,e-Rifter Long,50.0,46.3,3.7,7.4,Alias,244,,,,„Long“ entspricht der Länge „XL“ (Zeile 244).,Rohquelle,#16,Peugeot,e-Rifter Long,50 kWh,46.3 kWh
Z242,242,Peugeot,e-Rifter M,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Rifter M,50 kWh,46.3 kWh
Z243,243,Peugeot,e-Rifter Standard,50.0,46.3,3.7,7.4,Alias,242,,,,„Standard“ entspricht der Länge „M“ (Zeile 242).,Rohquelle,#16,Peugeot,e-Rifter Standard,50 kWh,46.3 kWh
Z244,244,Peugeot,e-Rifter XL,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Rifter XL,50 kWh,46.3 kWh
Z245,245,Peugeot,e-Traveller Compact,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Traveller Compact,50 kWh,46.3 kWh
Z246,246,Peugeot,e-Traveller L2,50.0,46.3,3.7,7.4,Alias,252,,,,„L2“ entspricht „Standard“ (Zeile 252).,Rohquelle,#16,Peugeot,e-Traveller L2,50 kWh,46.3 kWh
Z247,247,Peugeot,e-Traveller L2,75.0,68.0,7.0,9.3,Alias,253,,,,„L2“ entspricht „Standard“ (Zeile 253).,Rohquelle,#16,Peugeot,e-Traveller L2,75 kWh,68.0 kWh
Z248,248,Peugeot,e-Traveller L3,50.0,46.3,3.7,7.4,Alias,250,,,,„L3“ entspricht „Long“ (Zeile 250).,Rohquelle,#16,Peugeot,e-Traveller L3,50 kWh,46.3 kWh
Z249,249,Peugeot,e-Traveller L3,75.0,68.0,7.0,9.3,Alias,251,,,,„L3“ entspricht „Long“ (Zeile 251).,Rohquelle,#16,Peugeot,e-Traveller L3,75 kWh,68.0 kWh
Z250,250,Peugeot,e-Traveller Long,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Traveller Long,50 kWh,46.3 kWh
Z251,251,Peugeot,e-Traveller Long,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Peugeot,e-Traveller Long,75 kWh,68.0 kWh
Z252,252,Peugeot,e-Traveller Standard,50.0,46.3,3.7,7.4,unverändert,,,,,,Rohquelle,,Peugeot,e-Traveller Standard,50 kWh,46.3 kWh
Z253,253,Peugeot,e-Traveller Standard,75.0,68.0,7.0,9.3,unverändert,,,,,,Rohquelle,,Peugeot,e-Traveller Standard,75 kWh,68.0 kWh
Z254,254,Peugeot,iOn,16.0,14.5,1.5,9.4,unverändert,,,,,,Rohquelle,,Peugeot,iOn,16 kWh,14.5 kWh
Z255,255,Peugeot,Partner Tepee Electric,22.5,20.5,2.0,8.9,unverändert,,,,,,Rohquelle,,Peugeot,Partner Tepee Electric,22.5 kWh,20.5 kWh
Z256,256,Porsche,Macan,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Porsche,Macan,100 kWh,95.0 kWh
Z257,257,Porsche,Macan 4,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Porsche,Macan 4,100 kWh,95.0 kWh
Z258,258,Porsche,Macan 4S,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Porsche,Macan 4S,100 kWh,95.0 kWh
Z259,259,Porsche,Macan Turbo,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Porsche,Macan Turbo,100 kWh,95.0 kWh
Z260,260,Porsche,Taycan,79.2,71.0,8.2,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan,79.2 kWh,71.0 kWh
Z261,261,Porsche,Taycan,89.0,82.3,6.7,7.5,unverändert,,,,,,Rohquelle,,Porsche,Taycan,89 kWh,82.3 kWh
Z262,262,Porsche,Taycan,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan,93.4 kWh,83.7 kWh
Z263,263,Porsche,Taycan,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Porsche,Taycan,105 kWh,97.0 kWh
Z264,264,Porsche,Taycan 4 Cross Turismo,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4 Cross Turismo,93.4 kWh,83.7 kWh
Z265,265,Porsche,Taycan 4 Cross Turismo,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4 Cross Turismo,105 kWh,97.0 kWh
Z266,266,Porsche,Taycan 4S,79.2,71.0,8.2,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S,79.2 kWh,71.0 kWh
Z267,267,Porsche,Taycan 4S,89.0,82.3,6.7,7.5,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S,89 kWh,82.3 kWh
Z268,268,Porsche,Taycan 4S,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S,93.4 kWh,83.7 kWh
Z269,269,Porsche,Taycan 4S,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S,105 kWh,97.0 kWh
Z270,270,Porsche,Taycan 4S Cross Turismo,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S Cross Turismo,93.4 kWh,83.7 kWh
Z271,271,Porsche,Taycan 4S Cross Turismo,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S Cross Turismo,105 kWh,97.0 kWh
Z272,272,Porsche,Taycan 4S Sport Turismo,79.2,71.0,8.2,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S Sport Turismo,79.2 kWh,71.0 kWh
Z273,273,Porsche,Taycan 4S Sport Turismo,89.0,82.3,6.7,7.5,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S Sport Turismo,89 kWh,82.3 kWh
Z274,274,Porsche,Taycan 4S Sport Turismo,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S Sport Turismo,93.4 kWh,83.7 kWh
Z275,275,Porsche,Taycan 4S Sport Turismo,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Porsche,Taycan 4S Sport Turismo,105 kWh,97.0 kWh
Z276,276,Porsche,Taycan GTS,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan GTS,93.4 kWh,83.7 kWh
Z277,277,Porsche,Taycan GTS,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Porsche,Taycan GTS,105 kWh,97.0 kWh
Z278,278,Porsche,Taycan GTS Sport Turismo,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan GTS Sport Turismo,93.4 kWh,83.7 kWh
Z279,279,Porsche,Taycan GTS Sport Turismo,105.0,97.0,8.0,7.6,unverändert,,,,,,Rohquelle,,Porsche,Taycan GTS Sport Turismo,105 kWh,97.0 kWh
Z280,280,Porsche,Taycan Sport Turismo,79.2,71.0,8.2,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan Sport Turismo,79.2 kWh,71.0 kWh
Z281,281,Porsche,Taycan Sport Turismo,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Porsche,Taycan Sport Turismo,93.4 kWh,83.7 kWh
