ID,Zeile (Rohquelle),Marke,Modell,Brutto kWh,Netto kWh,Puffer kWh,Puffer %,Status,Alias von Zeile,Modelljahr von,Modelljahr bis,Batterie-Generation,Bemerkung,Quelle,Issue,Marke (Rohquelle),Modell (Rohquelle),Brutto (Rohquelle),Netto (Rohquelle)
Z381,381,Tesla,Model S P90D,90.0,85.5,4.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S P90D,90 kWh,85.5 kWh
Z382,382,Tesla,Model S P90DL,90.0,85.5,4.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S P90DL,90 kWh,85.5 kWh
Z383,383,Tesla,Model S Performance,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S Performance,100 kWh,95.0 kWh
Z384,384,Tesla,Model S Performance,103.0,98.0,5.0,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model S Performance,103 kWh,98.0 kWh
Z385,385,Tesla,Model S Plaid,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model S Plaid,100 kWh,95.0 kWh
Z386,386,Tesla,Model S Standard Range,75.0,72.5,2.5,3.3,unverändert,,,,,,Rohquelle,,Tesla,Model S Standard Range,75 kWh,72.5 kWh
Z387,387,Tesla,Model X 100D,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X 100D,100 kWh,95.0 kWh
Z388,388,Tesla,Model X 60D,75.0,62.0,13.0,17.3,unverändert,,,,,,Rohquelle,,Tesla,Model X 60D,75 kWh,62.0 kWh
Z389,389,Tesla,Model X 75D,75.0,72.5,2.5,3.3,unverändert,,,,,,Rohquelle,,Tesla,Model X 75D,75 kWh,72.5 kWh
Z390,390,Tesla,Model X 90D,90.0,85.5,4.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X 90D,90 kWh,85.5 kWh
Z391,391,Tesla,Model X Dual Motor,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X Dual Motor,100 kWh,95.0 kWh
Z392,392,Tesla,Model X Long Range,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X Long Range,100 kWh,95.0 kWh
Z393,393,Tesla,Model X Long Range Plus,103.0,98.0,5.0,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model X Long Range Plus,103 kWh,98.0 kWh
Z394,394,Tesla,Model X Ludicrous Performance,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X Ludicrous Performance,100 kWh,95.0 kWh
Z395,395,Tesla,Model X P100D,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X P100D,100 kWh,95.0 kWh
Z396,396,Tesla,Model X P90D,90.0,85.5,4.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X P90D,90 kWh,85.5 kWh
Z397,397,Tesla,Model X P90DL,90.0,85.5,4.5,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X P90DL,90 kWh,85.5 kWh
Z398,398,Tesla,Model X Performance,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X Performance,100 kWh,95.0 kWh
Z399,399,Tesla,Model X Performance,103.0,98.0,5.0,4.9,unverändert,,,,,,Rohquelle,,Tesla,Model X Performance,103 kWh,98.0 kWh
Z400,400,Tesla,Model X Plaid,100.0,95.0,5.0,5.0,unverändert,,,,,,Rohquelle,,Tesla,Model X Plaid,100 kWh,95.0 kWh
Z401,401,Tesla,Model X Standard Range,75.0,72.5,2.5,3.3,unverändert,,,,,,Rohquelle,,Tesla,Model X Standard Range,75 kWh,72.5 kWh
Z402,402,Tesla,Model Y Long Range AWD,75.0,72.0,3.0,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model Y Long Range AWD,75 kWh,72.0 kWh
Z403,403,Tesla,Model Y Long Range AWD,78.1,75.0,3.1,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model Y Long Range AWD,78.1 kWh,75.0 kWh
Z404,404,Tesla,Model Y Long Range RWD,78.1,75.0,3.1,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model Y Long Range RWD,78.1 kWh,75.0 kWh
Z405,405,Tesla,Model Y Performance,78.1,75.0,3.1,4.0,unverändert,,,,,,Rohquelle,,Tesla,Model Y Performance,78.1 kWh,75.0 kWh
Z406,406,Tesla,Model Y RWD,60.0,57.5,2.5,4.2,unverändert,,,,,,Rohquelle,,Tesla,Model Y RWD,60 kWh,57.5 kWh
Z407,407,Tesla,Model Y RWD,64.0,60.5,3.5,5.5,unverändert,,,,,,Rohquelle,,Tesla,Model Y RWD,64 kWh,60.5 kWh
Z408,408,Volkswagen,e-Golf,24.2,21.1,3.1,12.8,unverändert,,,,,,Rohquelle,,Volkswagen,e-Golf,24.2 kWh,21.1 kWh
Z409,409,Volkswagen,e-Golf,35.8,31.5,4.3,12.0,unverändert,,,,,,Rohquelle,,Volkswagen,e-Golf,35.8 kWh,31.5 kWh
Z410,410,Volkswagen,e-up!,18.7,16.4,2.3,12.3,unverändert,,,,,,Rohquelle,,Volkswagen,e-Up,18.7 kWh,16.4 kWh
Z411,411,Volkswagen,e-up!,36.8,32.3,4.5,12.2,unverändert,,,,,,Rohquelle,,Volkswagen,e-Up,36.8 kWh,32.3 kWh
Z412,412,Volkswagen,ID.3 Pro,62.0,58.0,4.0,6.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.3 Pro,62 kWh,58.0 kWh
Z413,413,Volkswagen,ID.3 Pro,63.0,59.0,4.0,6.3,unverändert,,,,,,Rohquelle,,Volkswagen,ID.3 Pro,63 kWh,59.0 kWh
Z414,414,Volkswagen,ID.3 Pro Performance,62.0,58.0,4.0,6.5,unverändert,,,,,,Rohquelle,,Volkswagen,ID.3 Pro Performance,62 kWh,58.0 kWh
Z415,415,Volkswagen,ID.3 Pro S,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.3 Pro S,82 kWh,77.0 kWh
Z416,416,Volkswagen,ID.3 Pure,55.0,45.0,10.0,18.2,bestätigt,,2021,2022,"55 kWh, begrenzt auf 45","Richtig: dieselbe 55-kWh-Batterie wie im ID.4 Pure, per Software auf 45 kWh netto begrenzt (Software-Lock). Der ID.3 Pure ab 2024 hat 55 / 52 kWh und fehlt in der Rohquelle.",https://ev-database.org/car/1127/Volkswagen-ID3-Pure-Performance https://www.electrive.net/2021/09/23/fahrbericht-vw-id-3-pure-performance/,#2,Volkswagen,ID.3 Pure,55 kWh,45.0 kWh
Z417,417,Volkswagen,ID.3 Pure Performance,55.0,45.0,10.0,18.2,bestätigt,,2021,2022,"55 kWh, begrenzt auf 45","Richtig: dieselbe 55-kWh-Batterie wie im ID.4 Pure, per Software auf 45 kWh netto begrenzt (Software-Lock). Der ID.3 Pure ab 2024 hat 55 / 52 kWh und fehlt in der Rohquelle.",https://ev-database.org/car/1127/Volkswagen-ID3-Pure-Performance https://www.electrive.net/2021/09/23/fahrbericht-vw-id-3-pure-performance/,#2,Volkswagen,ID.3 Pure Performance,55 kWh,45.0 kWh
Z418,418,Volkswagen,ID.4 AWD,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 AWD,82 kWh,77.0 kWh
Z419,419,Volkswagen,ID.4 GTX,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 GTX,82 kWh,77.0 kWh
Z420,420,Volkswagen,ID.4 Pro,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 Pro,82 kWh,77.0 kWh
Z421,421,Volkswagen,ID.4 Pro 4M,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 Pro 4M,82 kWh,77.0 kWh
Z422,422,Volkswagen,ID.4 Pro Performance,82.0,77.0,5.0,6.1,unverändert,,,,,,Rohquelle,,Volkswagen,ID.4 Pro Performance,82 kWh,77.0 kWh
